ID,annotator_1,error_1,pers_1,annotator_2,error_2,pers_2,annotator_3,error_3,pers_3
NET_07_ministral-3_14b_1,0,,,0,,,0,,
NET_07_ministral-3_14b_2,1,,,1,,,1,,
NET_07_ministral-3_14b_3,2,conceptual,5,2,conceptual,5,2,factual,4
NET_07_mistral_7b_1,2,factual,4,2,factual,4,0,,
NET_07_mistral_7b_2,1,,,1,,,1,,
NET_07_mistral_7b_3,2,factual,3,2,conceptual,3,2,factual,2
NET_07_qwen3_235b_1,0,,,0,,,0,,
NET_07_qwen3_235b_2,1,,,1,,,1,,
NET_07_qwen3_235b_3,2,factual,5,2,factual,5,2,logical,5
OS_01_deepseek-r1_70b_1,0,,,0,,,0,,
OS_01_deepseek-r1_70b_2,1,,,1,,,1,,
OS_01_deepseek-r1_70b_3,2,factual,3,2,factual,3,2,conceptual,3
OS_01_gemma4_31b_1,0,,,0,,,0,,
OS_01_gemma4_31b_2,1,,,1,,,1,,
OS_01_gemma4_31b_3,2,conceptual,4,2,conceptual,4,2,factual,3
OS_01_llama3.3_70b_1,0,,,0,,,0,,
OS_01_llama3.3_70b_2,1,,,1,,,1,,
OS_01_llama3.3_70b_3,2,conceptual,4,2,conceptual,4,2,conceptual,4
OS_01_llama4_16x17b_1,0,,,0,,,0,,
OS_01_llama4_16x17b_2,1,,,1,,,1,,
OS_01_llama4_16x17b_3,2,conceptual,3,2,conceptual,3,2,factual,2
OS_01_ministral-3_14b_1,0,,,0,,,0,,
OS_01_ministral-3_14b_2,1,,,1,,,1,,
OS_01_ministral-3_14b_3,2,conceptual,4,2,conceptual,4,2,conceptual,5
OS_01_mistral_7b_1,0,,,0,,,0,,
OS_01_mistral_7b_2,1,,,1,,,1,,
OS_01_mistral_7b_3,0,,,0,,,0,,
OS_01_qwen3_235b_1,0,,,0,,,0,,
OS_01_qwen3_235b_2,1,,,1,,,1,,
OS_01_qwen3_235b_3,2,conceptual,4,2,conceptual,4,2,conceptual,3
OS_02_deepseek-r1_70b_1,0,,,0,,,0,,
OS_02_deepseek-r1_70b_2,1,,,1,,,1,,
OS_02_deepseek-r1_70b_3,2,factual,4,2,factual,4,2,factual,3
OS_02_gemma4_31b_1,0,,,0,,,0,,
OS_02_gemma4_31b_2,1,,,1,,,1,,
OS_02_gemma4_31b_3,2,factual,4,2,factual,4,2,conceptual,4
OS_02_llama3.3_70b_1,0,,,0,,,0,,
OS_02_llama3.3_70b_2,1,,,1,,,1,,
OS_02_llama3.3_70b_3,2,factual,4,2,factual,4,2,factual,4
OS_02_llama4_16x17b_1,0,,,0,,,0,,
OS_02_llama4_16x17b_2,1,,,1,,,1,,
OS_02_llama4_16x17b_3,2,conceptual,3,2,conceptual,3,2,factual,2
OS_02_ministral-3_14b_1,0,,,0,,,0,,
OS_02_ministral-3_14b_2,1,,,1,,,1,,
OS_02_ministral-3_14b_3,2,conceptual,4,2,conceptual,4,2,conceptual,5
OS_02_mistral_7b_1,0,,,0,,,0,,
OS_02_mistral_7b_2,1,,,1,,,1,,
OS_02_mistral_7b_3,2,conceptual,3,2,conceptual,3,2,factual,2
OS_02_qwen3_235b_1,0,,,0,,,0,,
OS_02_qwen3_235b_2,1,,,1,,,1,,
OS_02_qwen3_235b_3,2,factual,3,2,factual,3,2,conceptual,4
OS_03_deepseek-r1_70b_1,0,,,0,,,0,,
OS_03_deepseek-r1_70b_2,1,,,1,,,1,,
OS_03_deepseek-r1_70b_3,2,factual,3,2,factual,3,2,logical,4
OS_03_gemma4_31b_1,0,,,0,,,0,,
OS_03_gemma4_31b_2,1,,,1,,,1,,
OS_03_gemma4_31b_3,2,factual,3,2,factual,3,2,conceptual,4
OS_03_llama3.3_70b_1,0,,,0,,,0,,
OS_03_llama3.3_70b_2,1,,,1,,,1,,
OS_03_llama3.3_70b_3,2,factual,3,2,factual,3,2,logical,5
OS_03_llama4_16x17b_1,0,,,0,,,0,,
OS_03_llama4_16x17b_2,1,,,1,,,1,,
OS_03_llama4_16x17b_3,2,factual,3,2,conceptual,4,2,conceptual,3
OS_03_ministral-3_14b_1,0,,,0,,,0,,
OS_03_ministral-3_14b_2,1,,,1,,,1,,
OS_03_ministral-3_14b_3,2,factual,4,2,factual,4,2,conceptual,5
OS_03_mistral_7b_1,0,,,0,,,0,,
OS_03_mistral_7b_2,1,,,1,,,1,,
OS_03_mistral_7b_3,1,,,1,,,1,,
OS_03_qwen3_235b_1,0,,,0,,,0,,
OS_03_qwen3_235b_2,1,,,1,,,1,,
OS_03_qwen3_235b_3,2,factual,4,2,factual,4,2,logical,5
OS_04_deepseek-r1_70b_1,0,,,0,,,0,,
OS_04_deepseek-r1_70b_2,1,,,1,,,1,,
OS_04_deepseek-r1_70b_3,2,conceptual,3,2,logical,4,2,factual,3
OS_04_gemma4_31b_1,0,,,0,,,0,,
OS_04_gemma4_31b_2,1,,,1,,,1,,
OS_04_gemma4_31b_3,2,conceptual,3,2,logical,4,2,factual,3
OS_04_llama3.3_70b_1,0,,,0,,,0,,
OS_04_llama3.3_70b_2,1,,,1,,,1,,
OS_04_llama3.3_70b_3,2,conceptual,4,2,conceptual,5,2,conceptual,5
OS_04_llama4_16x17b_1,0,,,0,,,0,,
OS_04_llama4_16x17b_2,1,,,1,,,1,,
OS_04_llama4_16x17b_3,2,conceptual,2,2,logical,4,2,factual,3
OS_04_ministral-3_14b_1,0,,,0,,,0,,
OS_04_ministral-3_14b_2,1,,,1,,,1,,
OS_04_ministral-3_14b_3,2,conceptual,3,2,logical,4,2,factual,3
OS_04_mistral_7b_1,0,,,0,,,0,,
OS_04_mistral_7b_2,1,,,1,,,1,,
OS_04_mistral_7b_3,0,,,0,,,2,factual,2
OS_04_qwen3_235b_1,0,,,0,,,0,,
OS_04_qwen3_235b_2,1,,,1,,,1,,
OS_04_qwen3_235b_3,2,conceptual,3,2,logical,5,2,factual,4
OS_05_deepseek-r1_70b_1,0,,,0,,,0,,
OS_05_deepseek-r1_70b_2,1,,,1,,,1,,
OS_05_deepseek-r1_70b_3,2,factual,3,2,factual,5,2,factual,4
OS_05_gemma4_31b_1,0,,,0,,,0,,
OS_05_gemma4_31b_2,1,,,1,,,1,,
OS_05_gemma4_31b_3,2,conceptual,4,2,factual,3,2,conceptual,4
OS_05_llama3.3_70b_1,0,,,0,,,0,,
OS_05_llama3.3_70b_2,1,,,1,,,1,,
OS_05_llama3.3_70b_3,2,conceptual,3,2,factual,4,2,factual,3
OS_05_llama4_16x17b_1,0,,,0,,,0,,
OS_05_llama4_16x17b_2,1,,,1,,,1,,
OS_05_llama4_16x17b_3,2,conceptual,3,2,factual,3,2,factual,3
OS_05_ministral-3_14b_1,0,,,0,,,0,,
OS_05_ministral-3_14b_2,1,,,1,,,1,,
OS_05_ministral-3_14b_3,2,conceptual,4,2,factual,5,2,logical,5
OS_05_mistral_7b_1,0,,,0,,,0,,
OS_05_mistral_7b_2,1,,,1,,,1,,
OS_05_mistral_7b_3,2,conceptual,3,2,factual,3,2,factual,2
OS_05_qwen3_235b_1,0,,,0,,,0,,
OS_05_qwen3_235b_2,1,,,1,,,1,,
OS_05_qwen3_235b_3,2,factual,4,2,factual,5,2,factual,4
OS_06_deepseek-r1_70b_1,0,,,0,,,0,,
OS_06_deepseek-r1_70b_2,1,,,1,,,1,,
OS_06_deepseek-r1_70b_3,2,factual,3,2,factual,4,2,conceptual,3
OS_06_gemma4_31b_1,0,,,0,,,0,,
OS_06_gemma4_31b_2,1,,,1,,,1,,
OS_06_gemma4_31b_3,2,conceptual,3,2,factual,4,2,conceptual,3
OS_06_llama3.3_70b_1,0,,,0,,,0,,
OS_06_llama3.3_70b_2,1,,,1,,,1,,
OS_06_llama3.3_70b_3,2,conceptual,3,2,conceptual,3,2,conceptual,3
OS_06_llama4_16x17b_1,0,,,0,,,0,,
OS_06_llama4_16x17b_2,1,,,1,,,1,,
OS_06_llama4_16x17b_3,2,conceptual,2,2,conceptual,3,2,logical,5
OS_06_ministral-3_14b_1,0,,,0,,,0,,
OS_06_ministral-3_14b_2,1,,,1,,,1,,
OS_06_ministral-3_14b_3,2,conceptual,3,2,conceptual,4,2,conceptual,3
OS_06_mistral_7b_1,0,,,0,,,0,,
OS_06_mistral_7b_2,1,,,1,,,1,,
OS_06_mistral_7b_3,2,factual,2,2,factual,3,2,logical,5
OS_06_qwen3_235b_1,0,,,0,,,0,,
OS_06_qwen3_235b_2,1,,,1,,,1,,
OS_06_qwen3_235b_3,2,factual,3,2,factual,5,2,factual,4
OS_07_deepseek-r1_70b_1,0,,,0,,,0,,
OS_07_deepseek-r1_70b_2,1,,,1,,,1,,
OS_07_deepseek-r1_70b_3,2,conceptual,4,2,conceptual,5,2,factual,3
OS_07_gemma4_31b_1,0,,,0,,,0,,
OS_07_gemma4_31b_2,1,,,1,,,1,,
OS_07_gemma4_31b_3,2,conceptual,4,2,logical,4,2,factual,4
OS_07_llama3.3_70b_1,0,,,0,,,0,,
OS_07_llama3.3_70b_2,1,,,1,,,1,,
OS_07_llama3.3_70b_3,2,conceptual,4,2,conceptual,4,2,factual,4
OS_07_llama4_16x17b_1,0,,,0,,,0,,
OS_07_llama4_16x17b_2,1,,,1,,,1,,
OS_07_llama4_16x17b_3,2,conceptual,4,2,conceptual,5,2,conceptual,3
OS_07_ministral-3_14b_1,0,,,0,,,0,,
OS_07_ministral-3_14b_2,1,,,1,,,1,,
OS_07_ministral-3_14b_3,2,conceptual,4,2,conceptual,5,2,factual,4
OS_07_mistral_7b_1,0,,,0,,,0,,
OS_07_mistral_7b_2,1,,,1,,,1,,
OS_07_mistral_7b_3,0,,,0,,,0,,
OS_07_qwen3_235b_1,0,,,0,,,0,,
OS_07_qwen3_235b_2,1,,,1,,,1,,
OS_07_qwen3_235b_3,2,conceptual,4,2,conceptual,5,2,factual,4
PLP_01_deepseek-r1_70b_1,0,,,0,,,0,,
PLP_01_deepseek-r1_70b_2,1,,,1,,,1,,
PLP_01_deepseek-r1_70b_3,2,conceptual,3,2,conceptual,5,2,logical,5
PLP_01_gemma4_31b_1,0,,,0,,,0,,
PLP_01_gemma4_31b_2,1,,,1,,,1,,
PLP_01_gemma4_31b_3,2,conceptual,3,2,conceptual,5,2,conceptual,3
PLP_01_llama3.3_70b_1,0,,,0,,,0,,
PLP_01_llama3.3_70b_2,1,,,1,,,1,,
PLP_01_llama3.3_70b_3,2,conceptual,4,2,conceptual,4,2,logical,4
PLP_01_llama4_16x17b_1,0,,,0,,,0,,
PLP_01_llama4_16x17b_2,1,,,1,,,1,,
PLP_01_llama4_16x17b_3,2,conceptual,3,2,conceptual,5,2,conceptual,3
PLP_01_ministral-3_14b_1,0,,,0,,,0,,
PLP_01_ministral-3_14b_2,1,,,1,,,1,,
PLP_01_ministral-3_14b_3,2,conceptual,3,2,conceptual,4,2,logical,5
PLP_01_mistral_7b_1,0,,,0,,,0,,
PLP_01_mistral_7b_2,1,,,1,,,1,,
PLP_01_mistral_7b_3,2,conceptual,3,2,logical,3,2,conceptual,3
PLP_01_qwen3_235b_1,0,,,0,,,0,,
PLP_01_qwen3_235b_2,1,,,1,,,1,,
PLP_01_qwen3_235b_3,2,conceptual,4,2,conceptual,3,2,logical,5
PLP_02_deepseek-r1_70b_1,0,,,0,,,0,,
PLP_02_deepseek-r1_70b_2,1,,,1,,,1,,
PLP_02_deepseek-r1_70b_3,2,conceptual,3,2,conceptual,2,2,factual,3
PLP_02_gemma4_31b_1,0,,,0,,,0,,
PLP_02_gemma4_31b_2,1,,,1,,,1,,
PLP_02_gemma4_31b_3,2,factual,4,2,factual,5,2,factual,4
PLP_02_llama3.3_70b_1,0,,,0,,,0,,
PLP_02_llama3.3_70b_2,1,,,1,,,1,,
PLP_02_llama3.3_70b_3,2,conceptual,3,2,conceptual,4,2,conceptual,4
PLP_02_llama4_16x17b_1,0,,,0,,,0,,
PLP_02_llama4_16x17b_2,1,,,1,,,1,,
PLP_02_llama4_16x17b_3,2,conceptual,3,2,conceptual,3,2,factual,3
PLP_02_ministral-3_14b_1,0,,,0,,,0,,
PLP_02_ministral-3_14b_2,1,,,1,,,1,,
PLP_02_ministral-3_14b_3,2,conceptual,3,2,conceptual,3,2,factual,4
PLP_02_mistral_7b_1,0,,,0,,,0,,
PLP_02_mistral_7b_2,1,,,1,,,1,,
PLP_02_mistral_7b_3,2,conceptual,2,2,conceptual,2,2,conceptual,3
PLP_02_qwen3_235b_1,0,,,0,,,0,,
PLP_02_qwen3_235b_2,1,,,1,,,1,,
PLP_02_qwen3_235b_3,2,factual,4,2,factual,4,2,factual,5
PLP_03_deepseek-r1_70b_1,0,,,0,,,0,,
PLP_03_deepseek-r1_70b_2,1,,,1,,,1,,
PLP_03_deepseek-r1_70b_3,2,conceptual,4,2,conceptual,4,2,conceptual,4
PLP_03_gemma4_31b_1,0,,,0,,,0,,
PLP_03_gemma4_31b_2,1,,,1,,,1,,
PLP_03_gemma4_31b_3,2,conceptual,4,2,conceptual,3,2,conceptual,4
PLP_03_llama3.3_70b_1,0,,,0,,,0,,
PLP_03_llama3.3_70b_2,1,,,1,,,1,,
PLP_03_llama3.3_70b_3,0,,,0,,,0,,
PLP_03_llama4_16x17b_1,0,,,0,,,0,,
PLP_03_llama4_16x17b_2,1,,,1,,,1,,
PLP_03_llama4_16x17b_3,2,conceptual,4,2,conceptual,4,2,conceptual,4
PLP_03_ministral-3_14b_1,0,,,0,,,0,,
PLP_03_ministral-3_14b_2,1,,,1,,,1,,
PLP_03_ministral-3_14b_3,2,conceptual,4,2,conceptual,4,2,factual,4
PLP_03_mistral_7b_1,0,,,0,,,0,,
PLP_03_mistral_7b_2,1,,,1,,,1,,
PLP_03_mistral_7b_3,2,conceptual,3,2,conceptual,3,2,conceptual,3
PLP_03_qwen3_235b_1,0,,,0,,,0,,
PLP_03_qwen3_235b_2,1,,,1,,,1,,
PLP_03_qwen3_235b_3,2,conceptual,4,2,conceptual,5,2,factual,4
PLP_04_deepseek-r1_70b_1,0,,,0,,,0,,
PLP_04_deepseek-r1_70b_2,1,,,1,,,1,,
PLP_04_deepseek-r1_70b_3,2,conceptual,3,2,conceptual,3,2,conceptual,3
PLP_04_gemma4_31b_1,0,,,0,,,0,,
PLP_04_gemma4_31b_2,1,,,1,,,1,,
PLP_04_gemma4_31b_3,2,conceptual,4,2,conceptual,4,2,logical,5
PLP_04_llama3.3_70b_1,0,,,0,,,0,,
PLP_04_llama3.3_70b_2,1,,,1,,,1,,
PLP_04_llama3.3_70b_3,2,conceptual,3,2,conceptual,3,2,conceptual,3
PLP_04_llama4_16x17b_1,0,,,0,,,0,,
PLP_04_llama4_16x17b_2,1,,,1,,,1,,
PLP_04_llama4_16x17b_3,2,conceptual,3,2,conceptual,3,2,logical,4
PLP_04_ministral-3_14b_1,0,,,0,,,0,,
PLP_04_ministral-3_14b_2,1,,,1,,,1,,
PLP_04_ministral-3_14b_3,2,conceptual,3,2,conceptual,3,2,logical,4
PLP_04_mistral_7b_1,0,,,0,,,0,,
PLP_04_mistral_7b_2,1,,,1,,,1,,
PLP_04_mistral_7b_3,0,,,0,,,0,,
PLP_04_qwen3_235b_1,0,,,0,,,0,,
PLP_04_qwen3_235b_2,1,,,1,,,1,,
PLP_04_qwen3_235b_3,2,conceptual,4,2,conceptual,4,2,logical,5
PLP_05_deepseek-r1_70b_1,0,,,0,,,0,,
PLP_05_deepseek-r1_70b_2,1,,,1,,,1,,
PLP_05_deepseek-r1_70b_3,1,,,1,,,1,,
PLP_05_gemma4_31b_1,0,,,0,,,0,,
PLP_05_gemma4_31b_2,1,,,1,,,1,,
PLP_05_gemma4_31b_3,2,conceptual,3,2,conceptual,3,2,factual,3
PLP_05_llama3.3_70b_1,0,,,0,,,0,,
PLP_05_llama3.3_70b_2,1,,,1,,,1,,
PLP_05_llama3.3_70b_3,2,conceptual,3,2,conceptual,3,2,factual,3
PLP_05_llama4_16x17b_1,0,,,0,,,0,,
PLP_05_llama4_16x17b_2,1,,,1,,,1,,
PLP_05_llama4_16x17b_3,2,conceptual,2,2,conceptual,2,2,conceptual,3
PLP_05_ministral-3_14b_1,0,,,0,,,0,,
PLP_05_ministral-3_14b_2,1,,,1,,,1,,
PLP_05_ministral-3_14b_3,2,conceptual,3,2,conceptual,3,2,conceptual,4
PLP_05_mistral_7b_1,2,conceptual,2,2,conceptual,2,0,,
PLP_05_mistral_7b_2,1,,,1,,,1,,
PLP_05_mistral_7b_3,0,,,0,,,2,conceptual,2
PLP_05_qwen3_235b_1,0,,,0,,,0,,
PLP_05_qwen3_235b_2,1,,,1,,,1,,
PLP_05_qwen3_235b_3,2,conceptual,4,2,conceptual,4,2,factual,4
PLP_06_deepseek-r1_70b_1,0,,,0,,,0,,
PLP_06_deepseek-r1_70b_2,1,,,1,,,1,,
PLP_06_deepseek-r1_70b_3,2,factual,3,2,conceptual,2,2,factual,3
PLP_06_gemma4_31b_1,0,,,0,,,0,,
PLP_06_gemma4_31b_2,1,,,1,,,1,,
PLP_06_gemma4_31b_3,2,factual,3,2,factual,3,2,factual,3
PLP_06_llama3.3_70b_1,0,,,0,,,0,,
PLP_06_llama3.3_70b_2,1,,,1,,,1,,
PLP_06_llama3.3_70b_3,2,factual,4,2,factual,4,2,factual,5
PLP_06_llama4_16x17b_1,0,,,0,,,0,,
PLP_06_llama4_16x17b_2,1,,,1,,,1,,
PLP_06_llama4_16x17b_3,2,conceptual,3,2,conceptual,3,2,conceptual,5
PLP_06_ministral-3_14b_1,0,,,0,,,0,,
PLP_06_ministral-3_14b_2,1,,,1,,,1,,
PLP_06_ministral-3_14b_3,2,factual,3,2,factual,4,2,conceptual,4
PLP_06_mistral_7b_1,0,,,0,,,0,,
PLP_06_mistral_7b_2,1,,,1,,,1,,
PLP_06_mistral_7b_3,0,,,0,,,2,logical,4
PLP_06_qwen3_235b_1,0,,,0,,,0,,
PLP_06_qwen3_235b_2,1,,,1,,,1,,
PLP_06_qwen3_235b_3,2,factual,3,2,factual,3,2,conceptual,4
PLP_07_deepseek-r1_70b_1,,,,,,,,,
PLP_07_deepseek-r1_70b_2,,,,,,,,,
PLP_07_deepseek-r1_70b_3,,,,,,,,,
PLP_07_gemma4_31b_1,0,,,0,,,0,,
PLP_07_gemma4_31b_2,1,,,1,,,1,,
PLP_07_gemma4_31b_3,2,conceptual,4,2,conceptual,4,2,conceptual,4
PLP_07_llama3.3_70b_1,0,,,0,,,0,,
PLP_07_llama3.3_70b_2,1,,,1,,,1,,
PLP_07_llama3.3_70b_3,2,conceptual,4,2,conceptual,4,2,factual,4
PLP_07_llama4_16x17b_1,0,,,0,,,0,,
PLP_07_llama4_16x17b_2,1,,,1,,,1,,
PLP_07_llama4_16x17b_3,2,conceptual,3,2,conceptual,3,2,conceptual,3
PLP_07_ministral-3_14b_1,0,,,0,,,0,,
PLP_07_ministral-3_14b_2,1,,,1,,,1,,
PLP_07_ministral-3_14b_3,2,conceptual,4,2,conceptual,4,2,conceptual,5
PLP_07_mistral_7b_1,0,,,0,,,0,,
PLP_07_mistral_7b_2,1,,,1,,,1,,
PLP_07_mistral_7b_3,2,conceptual,3,2,factual,4,2,conceptual,3
PLP_07_qwen3_235b_1,0,,,0,,,0,,
PLP_07_qwen3_235b_2,1,,,1,,,1,,
PLP_07_qwen3_235b_3,2,conceptual,4,2,conceptual,3,2,conceptual,5
